NAT_NAME,N,D,R,total,percent_detained
MEXICO,226596.0,683186.0,135919.0,1045701.0,78.3
EL SALVADOR,143334.0,69001.0,69946.0,282281.0,49.2
GUATEMALA,83345.0,85161.0,54785.0,223291.0,62.7
HONDURAS,106668.0,64499.0,48491.0,219658.0,51.4
CHINA,76952.0,5073.0,14868.0,96893.0,20.6
BRAZIL,43664.0,11651.0,5923.0,61238.0,28.7
CUBA,32276.0,11917.0,4096.0,48289.0,33.2
DOMINICAN REPUBLIC,14738.0,22573.0,4876.0,42187.0,65.1
COLOMBIA,27135.0,10083.0,3600.0,40818.0,33.5
HAITI,28925.0,7453.0,3907.0,40285.0,28.2
ECUADOR,12716.0,7896.0,10907.0,31519.0,59.7
INDIA,14857.0,3389.0,11439.0,29685.0,50.0
JAMAICA,9887.0,12636.0,2946.0,25469.0,61.2
NICARAGUA,12312.0,6533.0,3977.0,22822.0,46.1
PHILIPPINES,11626.0,4536.0,1676.0,17838.0,34.8
PERU,9457.0,4584.0,3312.0,17353.0,45.5
PAKISTAN,11452.0,1945.0,2065.0,15462.0,25.9
INDONESIA,11798.0,826.0,852.0,13476.0,12.5
VENEZUELA,10423.0,1721.0,1027.0,13171.0,20.9
CANADA,6657.0,4059.0,610.0,11326.0,41.2
NIGERIA,6809.0,2715.0,1374.0,10898.0,37.5
RUSSIA,6980.0,1646.0,831.0,9457.0,26.2
SOUTH KOREA,5780.0,2152.0,1183.0,9115.0,36.6
VIETNAM,4137.0,4345.0,509.0,8991.0,54.0
EGYPT,6839.0,863.0,968.0,8670.0,21.1
GHANA,5949.0,1328.0,1026.0,8303.0,28.4
ETHIOPIA,5913.0,1212.0,799.0,7924.0,25.4
TRINIDAD AND TOBAGO,4024.0,2872.0,862.0,7758.0,48.1
KENYA,5458.0,1023.0,1077.0,7558.0,27.8
NEPAL,5358.0,339.0,1405.0,7102.0,24.6
POLAND,3978.0,1810.0,960.0,6748.0,41.0
BANGLADESH,4071.0,813.0,1524.0,6408.0,36.5
ALBANIA,4562.0,632.0,1022.0,6216.0,26.6
ROMANIA,3942.0,898.0,1155.0,5995.0,34.2
IRAN,4185.0,1066.0,529.0,5780.0,27.6
COSTA RICA,3036.0,1917.0,809.0,5762.0,47.3
CAMEROON,4585.0,455.0,668.0,5708.0,19.7
JORDAN,3500.0,1053.0,819.0,5372.0,34.8
GUINEA,4541.0,516.0,289.0,5346.0,15.1
ISRAEL,3509.0,921.0,681.0,5111.0,31.3
UKRAINE,3124.0,1364.0,542.0,5030.0,37.9
UNITED KINGDOM,2694.0,1900.0,435.0,5029.0,46.4
GUYANA,2011.0,2173.0,773.0,4957.0,59.4
ARGENTINA,3344.0,1024.0,465.0,4833.0,30.8
ARMENIA,3427.0,742.0,607.0,4776.0,28.2
UNKNOWN NATIONALITY,316.0,3643.0,500.0,4459.0,92.9
SOMALIA,1690.0,2109.0,616.0,4415.0,61.7
SOVIET UNION,4216.0,84.0,50.0,4350.0,3.1
LEBANON,3164.0,618.0,400.0,4182.0,24.3
TURKEY,2397.0,745.0,878.0,4020.0,40.4
IRAQ,1953.0,1298.0,731.0,3982.0,51.0
SRI LANKA,1979.0,603.0,1377.0,3959.0,50.0
LAOS,1305.0,2320.0,174.0,3799.0,65.6
MOROCCO,2376.0,762.0,655.0,3793.0,37.4
IVORY COAST (COTE D'IVOIRE),3107.0,333.0,191.0,3631.0,14.4
LIBERIA,1941.0,1312.0,237.0,3490.0,44.4
BOLIVIA,1856.0,895.0,640.0,3391.0,45.3
THAILAND,1793.0,1154.0,417.0,3364.0,46.7
MAURITANIA,3096.0,106.0,62.0,3264.0,5.1
GAMBIA,2554.0,379.0,250.0,3183.0,19.8
MALI,2507.0,300.0,261.0,3068.0,18.3
UZEBEKISTAN,2140.0,380.0,480.0,3000.0,28.7
ERITREA,931.0,666.0,1362.0,2959.0,68.5
SYRIA,2143.0,295.0,486.0,2924.0,26.7
SENEGAL,2074.0,504.0,318.0,2896.0,28.4
CAMBODIA,1494.0,1111.0,156.0,2761.0,45.9
SIERRA LEONE,1855.0,557.0,177.0,2589.0,28.4
CHILE,1286.0,869.0,374.0,2529.0,49.1
BELIZE,852.0,1181.0,403.0,2436.0,65.0
GERMANY,1405.0,777.0,195.0,2377.0,40.9
YUGOSLAVIA,1893.0,304.0,158.0,2355.0,19.6
PANAMA,961.0,1080.0,281.0,2322.0,58.6
MONGOLIA,1736.0,223.0,312.0,2271.0,23.6
ZIMBABWE,1909.0,209.0,140.0,2258.0,15.5
BAHAMAS,713.0,1127.0,216.0,2056.0,65.3
SUDAN,975.0,842.0,144.0,1961.0,50.3
MOLDAVIA (MOLDOVA),1493.0,234.0,200.0,1927.0,22.5
BULGARIA,1392.0,271.0,248.0,1911.0,27.2
PORTUGAL,809.0,901.0,188.0,1898.0,57.4
YEMEN,1331.0,283.0,270.0,1884.0,29.4
BURMA (MYANMAR),1202.0,401.0,250.0,1853.0,35.1
CONGO,1423.0,211.0,106.0,1740.0,18.2
TOGO,1507.0,141.0,78.0,1726.0,12.7
GEORGIA,1048.0,305.0,366.0,1719.0,39.0
SOUTH AFRICA,1109.0,367.0,220.0,1696.0,34.6
ITALY,903.0,591.0,141.0,1635.0,44.8
BOSNIA-HERZEGOVINA,569.0,835.0,128.0,1532.0,62.9
STATELESS - ALIEN UNABLE TO NAME A COUNTRY,1380.0,93.0,52.0,1525.0,9.5
FIJI,1043.0,358.0,113.0,1514.0,31.1
SAUDI ARABIA,818.0,279.0,339.0,1436.0,43.0
UGANDA,1124.0,177.0,124.0,1425.0,21.1
CAPE VERDE,713.0,529.0,118.0,1360.0,47.6
BELARUS,1068.0,177.0,101.0,1346.0,20.7
TANZANIA,874.0,204.0,221.0,1299.0,32.7
LITHUANIA,917.0,224.0,157.0,1298.0,29.4
BURKINA FASO,1135.0,91.0,71.0,1297.0,12.5
TAIWAN,957.0,231.0,104.0,1292.0,25.9
CZECH REPUBLIC,688.0,402.0,196.0,1286.0,46.5
URUGUAY,725.0,406.0,152.0,1283.0,43.5
FRANCE,756.0,394.0,104.0,1254.0,39.7
KAZAKHSTAN,873.0,186.0,169.0,1228.0,28.9
AFGHANISTAN,602.0,402.0,188.0,1192.0,49.5
JAPAN,831.0,252.0,101.0,1184.0,29.8
HUNGARY,723.0,306.0,138.0,1167.0,38.0
TUNISIA,702.0,191.0,245.0,1138.0,38.3
MALAYSIA,689.0,227.0,159.0,1075.0,35.9
,347.0,660.0,27.0,1034.0,66.4
NIGER,735.0,159.0,131.0,1025.0,28.3
KIRGHIZIA (KYRGYZSTAN),884.0,48.0,90.0,1022.0,13.5
SPAIN,564.0,321.0,85.0,970.0,41.9
ST. LUCIA,518.0,308.0,121.0,947.0,45.3
BARBADOS,377.0,444.0,108.0,929.0,59.4
ALGERIA,596.0,184.0,114.0,894.0,33.3
DEMOCRATIC REPUBLIC OF CONGO,639.0,155.0,81.0,875.0,27.0
TONGA,344.0,337.0,178.0,859.0,60.0
DOMINICA,489.0,277.0,88.0,854.0,42.7
SERBIA MONTENEGRO,498.0,159.0,170.0,827.0,39.8
GREECE,504.0,228.0,73.0,805.0,37.4
AUSTRALIA,527.0,194.0,55.0,776.0,32.1
MACEDONIA,546.0,108.0,122.0,776.0,29.6
ZAMBIA,493.0,153.0,114.0,760.0,35.1
GRENADA,409.0,244.0,86.0,739.0,44.7
BYELORUSSIA (BELARUS),667.0,34.0,13.0,714.0,6.6
RWANDA,540.0,85.0,85.0,710.0,23.9
AZERBAIJAN,509.0,111.0,67.0,687.0,25.9
NETHERLANDS,392.0,233.0,52.0,677.0,42.1
ANTIGUA AND BARBUDA,266.0,274.0,76.0,616.0,56.8
TAJIKISTAN (TADZHIK),364.0,108.0,140.0,612.0,40.5
ST. VINCENT AND THE GRENADINES,288.0,236.0,70.0,594.0,51.5
IRELAND,357.0,177.0,60.0,594.0,39.9
KUWAIT,385.0,113.0,83.0,581.0,33.7
KOSOVO,370.0,88.0,92.0,550.0,32.7
SLOVAK REPUBLIC,327.0,116.0,99.0,542.0,39.7
FEDERATED STATES OF MICRONESA,75.0,403.0,40.0,518.0,85.5
LATVIA,356.0,108.0,49.0,513.0,30.6
ANGOLA,353.0,94.0,56.0,503.0,29.8
HONG KONG,349.0,106.0,43.0,498.0,29.9
BURUNDI,375.0,80.0,36.0,491.0,23.6
"ST. KITTS, WEST INDIES",221.0,209.0,54.0,484.0,54.3
ESTONIA,340.0,89.0,28.0,457.0,25.6
SWEDEN,322.0,108.0,26.0,456.0,29.4
PARAGUAY,292.0,90.0,74.0,456.0,36.0
SAMOA,206.0,174.0,71.0,451.0,54.3
PALESTINE,282.0,88.0,76.0,446.0,36.8
CHAD,371.0,31.0,43.0,445.0,16.6
NEW ZEALAND,268.0,117.0,39.0,424.0,36.8
NO NATIONALITY,40.0,328.0,51.0,419.0,90.5
CZECHOSLOVAKIA,250.0,84.0,57.0,391.0,36.1
TURKMENISTAN,331.0,26.0,33.0,390.0,15.1
BENIN,253.0,36.0,34.0,323.0,21.7
BELGIUM,219.0,84.0,12.0,315.0,30.5
CENTRAL AFRICAN REPUBLIC,265.0,29.0,15.0,309.0,14.2
NORTH KOREA,213.0,57.0,35.0,305.0,30.2
LIBYA,214.0,37.0,51.0,302.0,29.1
CROATIA,150.0,102.0,27.0,279.0,46.2
GABON,186.0,43.0,38.0,267.0,30.3
SINGAPORE,148.0,72.0,22.0,242.0,38.8
MALAWI,162.0,44.0,31.0,237.0,31.6
SURINAME,122.0,82.0,27.0,231.0,47.2
AUSTRIA,141.0,63.0,21.0,225.0,37.3
UNITED ARAB EMIRATES,130.0,22.0,40.0,192.0,32.3
BERMUDA,77.0,90.0,11.0,178.0,56.7
MACAU,56.0,99.0,18.0,173.0,67.6
SWITZERLAND,108.0,49.0,11.0,168.0,35.7
THE REPUBLIC OF THE MARSHALL ISLANDS,24.0,134.0,7.0,165.0,85.5
DENMARK,102.0,46.0,15.0,163.0,37.4
NORWAY,101.0,40.0,11.0,152.0,33.6
TURKS AND CAICOS ISLANDS,71.0,59.0,18.0,148.0,52.0
KAMPUCHEA,124.0,17.0,3.0,144.0,13.9
BAHRAIN,113.0,13.0,13.0,139.0,18.7
DJIBOUTI,109.0,13.0,12.0,134.0,18.7
THE REPUBLIC OF PALAU,28.0,90.0,13.0,131.0,78.6
GUINEA BISSAU,99.0,16.0,8.0,123.0,19.5
EAST GERMANY,32.0,80.0,9.0,121.0,73.6
BRITISH VIRGIN ISLANDS,51.0,53.0,11.0,115.0,55.7
MONTENEGRO,60.0,42.0,7.0,109.0,45.0
SLOVENIA,81.0,19.0,7.0,107.0,24.3
ZAIRE,93.0,9.0,2.0,104.0,10.6
FINLAND,69.0,27.0,5.0,101.0,31.7
BHUTAN,76.0,13.0,8.0,97.0,21.6
GUADELOUPE,37.0,28.0,22.0,87.0,57.5
HOLLAND,22.0,16.0,49.0,87.0,74.7
NIUE,75.0,6.0,3.0,84.0,10.7
MONTSERRAT,32.0,39.0,6.0,77.0,58.4
MADAGASCAR,60.0,11.0,3.0,74.0,18.9
CAYMAN ISLANDS,27.0,39.0,6.0,72.0,62.5
KIRIBATI,59.0,5.0,5.0,69.0,14.5
MAURITIUS,44.0,17.0,4.0,65.0,32.3
CYPRUS,38.0,13.0,12.0,63.0,39.7
QATAR,48.0,8.0,6.0,62.0,22.6
BOTSWANA,32.0,20.0,9.0,61.0,47.5
NAMIBIA,38.0,9.0,12.0,59.0,35.6
EQUATORIAL GUINEA,37.0,14.0,6.0,57.0,35.1
ICELAND,36.0,15.0,4.0,55.0,34.5
SEYCHELLES,32.0,12.0,6.0,50.0,36.0
MOZAMBIQUE,30.0,16.0,3.0,49.0,38.8
OMAN,33.0,4.0,10.0,47.0,29.8
COMORO ISLANDS,39.0,3.0,1.0,43.0,9.3
SOUTH SUDAN,3.0,35.0,3.0,41.0,92.7
ARUBA,16.0,15.0,7.0,38.0,57.9
ANGUILLA,23.0,14.0,1.0,38.0,39.5
MALTA,21.0,10.0,3.0,34.0,38.2
NEW CALEDONIA,27.0,1.0,0.0,28.0,3.6
MIDWAY ISLANDS,7.0,20.0,0.0,27.0,74.1
ST. CHRISTOPHER-NEVIS,18.0,7.0,1.0,26.0,30.8
PAPUA NEW GUINEA,10.0,6.0,10.0,26.0,61.5
SWAZILAND,12.0,8.0,3.0,23.0,47.8
LESOTHO,10.0,7.0,1.0,18.0,44.4
FRENCH POLYNESIA,11.0,4.0,0.0,15.0,26.7
BRITISH INDIAN OCEAN TERRITORY,11.0,2.0,0.0,13.0,15.4
MONACO,11.0,0.0,0.0,11.0,0.0
MALDIVES,9.0,2.0,0.0,11.0,18.2
SAN MARINO,7.0,3.0,0.0,10.0,30.0
ANDORRA,7.0,1.0,1.0,9.0,22.2
NAURU,5.0,2.0,1.0,8.0,37.5
SOLOMON ISLANDS,4.0,3.0,0.0,7.0,42.9
LUXEMBOURG,6.0,0.0,1.0,7.0,14.3
MARTINIQUE,4.0,2.0,1.0,7.0,42.9
PEOPLE'S REPUBLIC OF BENIN,4.0,1.0,2.0,7.0,42.9
WESTERN SAHARA,6.0,0.0,0.0,6.0,0.0
BRUNEI,4.0,0.0,2.0,6.0,33.3
COCOS ISLAND,5.0,1.0,0.0,6.0,16.7
FRENCH GUIANA,3.0,2.0,1.0,6.0,50.0
REUNIOUN,3.0,1.0,2.0,6.0,50.0
SAO TOME AND PRINCIPE,3.0,3.0,0.0,6.0,50.0
GAZA STRIP,5.0,0.0,0.0,5.0,0.0
BE REMOVED FROM THE UNITED STATES,4.0,0.0,0.0,4.0,0.0
BRITISH WEST INDIES,3.0,1.0,0.0,4.0,25.0
GIBRALTAR,2.0,1.0,0.0,3.0,33.3
UPPER VOLTA,3.0,0.0,0.0,3.0,0.0
FALKLAND ISLANDS,2.0,0.0,0.0,2.0,0.0
EAST TIMOR,2.0,0.0,0.0,2.0,0.0
,1.0,1.0,0.0,2.0,50.0
VANUATU,2.0,0.0,0.0,2.0,0.0
BOUVET ISLAND,1.0,0.0,0.0,1.0,0.0
HEARD AND MCDONALD ISLANDS,1.0,0.0,0.0,1.0,0.0
FRENCH WEST INDIES,0.0,1.0,0.0,1.0,100.0
ST. HELENA,1.0,0.0,0.0,1.0,0.0
ST. PIERRE AND MIQUELON,1.0,0.0,0.0,1.0,0.0
LIECHTENSTEIN,1.0,0.0,0.0,1.0,0.0
FAEROE ISLAND,0.0,0.0,1.0,1.0,100.0
COOK ISLANDS,1.0,0.0,0.0,1.0,0.0
